iter	MultiClass
0	6.79806625
1	6.699649375
2	6.604708125
3	6.515111875
4	6.44895
5	6.366021875
6	6.29012125
7	6.2177275
8	6.146981875
9	6.079105
10	6.020755625
11	5.950934375
12	5.88706125
13	5.82219125
14	5.749413125
15	5.67837375
16	5.608999375
17	5.5400125
18	5.4701525
19	5.405090625
20	5.34132625
21	5.295304375
22	5.231247813
23	5.166929375
24	5.10412625
25	5.039964375
26	4.976102812
27	4.918140313
28	4.85681125
29	4.797433437
30	4.735097188
31	4.676185937
32	4.617674688
33	4.565695625
34	4.510273438
35	4.456463125
36	4.405542813
37	4.349697188
38	4.2944025
39	4.237912188
40	4.183935313
41	4.131875938
42	4.07866
43	4.025925
44	3.974093125
45	3.926675313
46	3.876461875
47	3.823998125
48	3.773159688
49	3.7234175
50	3.675110625
51	3.625909375
52	3.580209688
53	3.536625313
54	3.489900625
55	3.444385
56	3.399563125
57	3.354307813
58	3.3117375
59	3.268930937
60	3.229705313
61	3.18617125
62	3.149669687
63	3.113398437
64	3.075558437
65	3.034387188
66	2.996616562
67	2.961064375
68	2.92558625
69	2.890070312
70	2.854910312
71	2.816527812
72	2.786236875
73	2.749336562
74	2.717912812
75	2.68366375
76	2.653485625
77	2.620876094
78	2.59153125
79	2.560334531
80	2.531942813
81	2.50398
82	2.475728906
83	2.446187656
84	2.420237188
85	2.394329063
86	2.3696525
87	2.343991094
88	2.316391094
89	2.291771406
90	2.266704375
91	2.242714219
92	2.216809688
93	2.191060781
94	2.166721406
95	2.144699688
96	2.118207969
97	2.096754844
98	2.071460469
99	2.050075
100	2.027111094
101	2.003546719
102	1.982927031
103	1.960564844
104	1.939781094
105	1.918578594
106	1.898450625
107	1.881745469
108	1.865222031
109	1.846652812
110	1.826968281
111	1.809833906
112	1.795425
113	1.777641094
114	1.760530781
115	1.741491875
116	1.723858281
117	1.706180156
118	1.69318375
119	1.681415625
120	1.663087812
121	1.645835938
122	1.628673594
123	1.613053281
124	1.597236719
125	1.584426875
126	1.571345781
127	1.555702969
128	1.543644219
129	1.532060938
130	1.517481406
131	1.502457031
132	1.486315937
133	1.476378281
134	1.462406875
135	1.450452188
136	1.43834375
137	1.423208906
138	1.412183906
139	1.399832969
140	1.386558125
141	1.376480781
142	1.367136719
143	1.359066719
144	1.348573125
145	1.338368125
146	1.325787188
147	1.313403906
148	1.304007734
149	1.291156719
150	1.277640859
151	1.269608203
152	1.258434766
153	1.247858281
154	1.238356875
155	1.228790937
156	1.218843594
157	1.210287344
158	1.200337266
159	1.190297813
160	1.180910078
161	1.174411563
162	1.16497375
163	1.156360312
164	1.148253984
165	1.139238047
166	1.130802813
167	1.120376094
168	1.113072969
169	1.103574609
170	1.097184219
171	1.091065938
172	1.085993594
173	1.077382734
174	1.065460391
175	1.060449688
176	1.053479219
177	1.045831406
178	1.03808125
179	1.028633047
180	1.022809141
181	1.017803203
182	1.012719766
183	1.004457422
184	0.9961167187
185	0.9901703125
186	0.9829503906
187	0.9766571094
188	0.9705664063
189	0.9636101563
190	0.9554614844
191	0.9497857031
192	0.9423525
193	0.9354854688
194	0.9312321875
195	0.9247255469
196	0.917621875
197	0.9108564062
198	0.9067678906
199	0.8988532812
200	0.8941960937
201	0.886021875
202	0.8818123437
203	0.8760038281
204	0.8725827344
205	0.8682
206	0.8655555469
207	0.8613552344
208	0.8553116406
209	0.8501479687
210	0.8443178125
211	0.8388721875
212	0.8351014062
213	0.8291576563
214	0.8249210156
215	0.819486875
216	0.8156807031
217	0.8123033594
218	0.806906875
219	0.8017757813
220	0.7975438281
221	0.7938009375
222	0.7878963281
223	0.7831369531
224	0.7763792969
225	0.77137625
226	0.7683482812
227	0.7635719531
228	0.7584535156
229	0.7559729687
230	0.7530457812
231	0.7500267188
232	0.7448642187
233	0.7416271094
234	0.7374919531
235	0.7341010937
236	0.73088
237	0.72741625
238	0.7231388281
239	0.7190852344
240	0.7157866406
241	0.7127534375
242	0.7101809375
243	0.7075352344
244	0.7012852344
245	0.697841875
246	0.6949524219
247	0.6907564063
248	0.6868410938
249	0.6838725
250	0.6798659375
251	0.6771041406
252	0.6723173437
253	0.6692013281
254	0.6664347656
255	0.6622728125
256	0.6585089063
257	0.6546520313
258	0.6514605078
259	0.6486841016
260	0.645711875
261	0.6433878906
262	0.6401935156
263	0.6374491016
264	0.633153125
265	0.6300209766
266	0.6258278125
267	0.6220050781
268	0.6190248437
269	0.6155752734
270	0.6131962109
271	0.6108046875
272	0.6081196484
273	0.6052432422
274	0.6021182031
275	0.6000224609
276	0.5974239062
277	0.5954033594
278	0.5929878906
279	0.5893874609
280	0.5872862109
281	0.5839371094
282	0.5812498047
283	0.5791059375
284	0.5767923047
285	0.5741765234
286	0.5720737891
287	0.5681233594
288	0.5633656641
289	0.5607111328
290	0.5583927344
291	0.5561626953
292	0.5537459766
293	0.5513859375
294	0.54881875
295	0.5464646094
296	0.544555625
297	0.5413035547
298	0.5385680078
299	0.5359696484
300	0.5349485547
301	0.5323660156
302	0.5298642578
303	0.5270191406
304	0.52508625
305	0.5220075
306	0.519821875
307	0.5191057812
308	0.5170590234
309	0.5149864844
310	0.5137499609
311	0.5121953906
312	0.5099611719
313	0.5077128906
314	0.5050007031
315	0.5029343359
316	0.499468125
317	0.4972676953
318	0.4953322656
319	0.4917185937
320	0.4902711719
321	0.4878551562
322	0.4866403125
323	0.4847267188
324	0.4829732422
325	0.4807742187
326	0.4782687891
327	0.4762038672
328	0.4741806641
329	0.4720422266
330	0.4702115234
331	0.4679441797
332	0.465086875
333	0.4632171875
334	0.4611620312
335	0.4587780078
336	0.4570164844
337	0.4550170703
338	0.4536503906
339	0.4526486328
340	0.4506990234
341	0.4489579687
342	0.4467274609
343	0.4442216797
344	0.4424258594
345	0.4408782031
346	0.4381562891
347	0.4362269922
348	0.4340210547
349	0.4321629297
350	0.4302230469
351	0.4284632422
352	0.4264812891
353	0.424145
354	0.4227151172
355	0.4213738281
356	0.4188642969
357	0.4172033594
358	0.4155997656
359	0.4137255859
360	0.4125679297
361	0.4109583984
362	0.4092096875
363	0.4073994531
364	0.4053819141
365	0.4030157031
366	0.4020639453
367	0.4010748828
368	0.3994420703
369	0.3979821094
370	0.3969746875
371	0.395468125
372	0.3945330078
373	0.3924880469
374	0.3911955469
375	0.39024625
376	0.3883675
377	0.3866780859
378	0.3853054687
379	0.3842068359
380	0.3834227734
381	0.3821002734
382	0.3810077344
383	0.379649375
384	0.3781792578
385	0.37710125
386	0.3763582422
387	0.3746245313
388	0.3731727344
389	0.3716606641
390	0.3697239063
391	0.3683119922
392	0.3669685938
393	0.3654741016
394	0.3638571094
395	0.3631851953
396	0.3623735156
397	0.3609134375
398	0.3593895313
399	0.3580025391
400	0.3562529688
401	0.3552933984
402	0.3545945703
403	0.3535566797
404	0.3524020703
405	0.3517546484
406	0.3502164063
407	0.3491010156
408	0.3478346094
409	0.3468917188
410	0.3461017188
411	0.3454623828
412	0.3445699609
413	0.3433234375
414	0.3413448828
415	0.3394044531
416	0.3381163672
417	0.3370207422
418	0.3358928516
419	0.3346723437
420	0.3339033594
421	0.3332943359
422	0.3326012891
423	0.3305936719
424	0.329329375
425	0.3285990625
426	0.3272319531
427	0.3256166406
428	0.3244181445
429	0.3231279492
430	0.3219455664
431	0.3212613086
432	0.3206695703
433	0.3201766016
434	0.3189903711
435	0.3175350781
436	0.3161583594
437	0.3149913086
438	0.314343457
439	0.3131333984
440	0.3122410937
441	0.3108831055
442	0.3093757031
443	0.3085418164
444	0.3072210938
445	0.3060742383
446	0.3048702539
447	0.3037344727
448	0.3023547266
449	0.3012314258
450	0.3001824805
451	0.2995920117
452	0.2984576367
453	0.2976592383
454	0.2964830078
455	0.2956651367
456	0.2947025
457	0.2932654492
458	0.2925725586
459	0.291564043
460	0.2907051367
461	0.2896482227
462	0.2886160742
463	0.2878867383
464	0.2873695898
465	0.2865134375
466	0.2854501172
467	0.2841400195
468	0.2824641406
469	0.281515625
470	0.2802084375
471	0.2792556836
472	0.278367793
473	0.2774479297
474	0.2770383984
475	0.2759608398
476	0.275514668
477	0.2746423828
478	0.2735374414
479	0.2731066406
480	0.2721272656
481	0.2711440039
482	0.2698019141
483	0.2693258789
484	0.2680957227
485	0.2677097266
486	0.2663888281
487	0.2657217969
488	0.2651555859
489	0.2647492578
490	0.2638516016
491	0.2632095508
492	0.261919082
493	0.2611057813
494	0.2609169727
495	0.2599575391
496	0.2593456641
497	0.2588392383
498	0.2579370117
499	0.256982793
500	0.2564840039
501	0.2556647656
502	0.2551045312
503	0.2546770898
504	0.2538571289
505	0.2530287109
506	0.2523153906
507	0.2517057422
508	0.2504186133
509	0.2500338867
510	0.2488914258
511	0.2481441797
512	0.2474575
513	0.2466091016
514	0.245583418
515	0.2448268359
516	0.2441819336
517	0.2434201367
518	0.2427881445
519	0.241990293
520	0.2415981055
521	0.2408757422
522	0.240371875
523	0.2399764062
524	0.2387775781
525	0.2384073633
526	0.2377516602
527	0.2373027734
528	0.2368866211
529	0.2360338086
530	0.2347026563
531	0.2341251172
532	0.2333019531
533	0.232355625
534	0.2318213867
535	0.2307047266
536	0.2302524805
537	0.2298407227
538	0.2294192578
539	0.2290363672
540	0.2284012109
541	0.2278573633
542	0.2272447656
543	0.2265944141
544	0.2263094336
545	0.2256424219
546	0.2249416992
547	0.2243291016
548	0.2236502734
549	0.2228967188
550	0.2222775391
551	0.2214021094
552	0.2210642773
553	0.2201907031
554	0.2195514648
555	0.2186375586
556	0.2179962109
557	0.217122832
558	0.2165343945
559	0.2163721875
560	0.2158052344
561	0.2153542187
562	0.21448375
563	0.2134850781
564	0.2127408398
565	0.212340293
